code,disciplines
1532872,Wrestling
1532873,Wrestling
1532874,Wrestling
1532944,Wrestling
1532945,Wrestling
1532951,Athletics
1533112,Judo
1533136,Athletics
1533176,Athletics
1533188,Triathlon
1533189,Triathlon
1533190,Triathlon
1533208,Athletics
1533209,Swimming
1533230,Artistic Swimming
1533231,Artistic Swimming
1533232,Artistic Swimming
1533234,Artistic Swimming
1533235,Artistic Swimming
1533237,Artistic Swimming
1533239,Artistic Swimming
1533240,Artistic Swimming
1533243,Artistic Swimming
1533245,Judo
1533359,Weightlifting
1533364,Athletics
1533371,Athletics
1533372,Athletics
1533374,Athletics
1533378,Swimming
1535180,Canoe Slalom
1535186,Boxing
1535187,Boxing
1535191,Athletics
1535195,Athletics
1535199,Athletics
1535201,Athletics
1535202,Athletics
1535203,Athletics
1535212,Athletics
1535214,Athletics
1535216,Athletics
1535217,Athletics
1535222,Athletics
1535225,Sailing
1535226,Sailing
1535252,Rowing
1535260,Rowing
1535267,Rowing
1535310,Artistic Gymnastics
1535343,Diving
1535345,Diving
1535346,Diving
1535348,Diving
1535349,Diving
1535350,Equestrian
1535351,Equestrian
1535354,Swimming
1535356,Artistic Gymnastics
1535357,Artistic Gymnastics
1535358,Rhythmic Gymnastics
1535359,Rhythmic Gymnastics
1535360,Rhythmic Gymnastics
1535361,Rhythmic Gymnastics
1535362,Rhythmic Gymnastics
1535363,Modern Pentathlon
1535364,Modern Pentathlon
1535365,Modern Pentathlon
1535366,Taekwondo
1535367,Taekwondo
1535368,Surfing
1535373,Judo
1535374,Judo
1535375,Judo
1535376,Judo
1535383,Judo
1535385,Judo
1535395,Cycling Road
1535420,Archery
1535429,Archery
1535430,Archery
1535433,Cycling Road
1535438,Shooting
1535439,Shooting
1535440,Shooting
1535441,Shooting
1535442,Triathlon
1535444,Canoe Slalom
1535448,Canoe Sprint
1535449,Canoe Sprint
1535505,Athletics
1535506,Athletics
1535511,Athletics
1535512,Athletics
1535513,Wrestling
1535514,Boxing
1535522,Boxing
1535524,Sailing
1535609,Swimming
1535660,Athletics
1535693,Equestrian
1535729,Modern Pentathlon
1535766,Football
1535776,Football
1535804,Football
1535805,Football
1535852,Sailing
1535853,Sailing
1535854,Swimming
1535856,Swimming
1535858,Athletics
1535910,Football
1535913,Football
1535914,Diving
1535916,Football
1535918,Shooting
1535925,Cycling Road
1535926,Sailing
1535927,Football
1535928,Football
1535929,Football
1535930,Football
1535959,Swimming
1535993,Equestrian
1536032,Athletics
1536045,Taekwondo
1536058,Taekwondo
1536064,Taekwondo
1536067,Taekwondo
1536157,Swimming
1536175,Swimming
1536184,Marathon Swimming
1536190,Marathon Swimming
1536196,Diving
1536197,Diving
1536198,Diving
1536207,Sport Climbing
1536214,Table Tennis
1536215,Table Tennis
1536233,Athletics
1536251,Judo
1536341,Golf
1536368,Golf
1536371,Golf
1536372,Athletics
1536460,Archery
1536467,Archery
1536479,Archery
1536494,Athletics
1536495,Athletics
1536496,Athletics
1536497,Athletics
1536498,Athletics
1536522,Golf
1536523,Golf
1536568,Athletics
1536585,Athletics
1536599,Athletics
1536600,Athletics
1536624,Table Tennis
1536632,Archery
1536648,Badminton
1536649,Badminton
1536650,Badminton
1536651,Badminton
1536669,Cycling Road
1536683,Athletics
1536701,Athletics
1536721,Rowing
1536885,Athletics
1536925,Athletics
1536961,Weightlifting
1536971,Weightlifting
1536983,Athletics
1536990,Athletics
1536992,Athletics
1536996,Canoe Sprint
1536997,Swimming
1536998,Athletics
1536999,Athletics
1537001,Athletics
1537002,Swimming
1537010,Athletics
1537012,Weightlifting
1537049,Athletics
1537052,Athletics
1537053,Athletics
1537057,Athletics
1537066,Athletics
1537069,Athletics
1537079,Athletics
1537135,Table Tennis
1537137,Table Tennis
1537144,Athletics
1537145,Athletics
1537149,Athletics
1537150,Athletics
1537163,Archery
1537168,Athletics
1537180,Swimming
1537183,Athletics
1537185,Sailing
1537187,Sailing
1537188,Wrestling
1537189,Boxing
1537191,Swimming
1537203,Athletics
1537204,Swimming
1537209,Swimming
1537256,Weightlifting
1537272,Swimming
1537273,Swimming
1537276,Badminton
1537286,Judo
1537287,Judo
1537312,Canoe Sprint
1537323,Football
1537325,Athletics
