code,events
1532872,Men's Greco-Roman 97kg
1532873,Men's Greco-Roman 77kg
1532874,Men's Greco-Roman 67kg
1532944,Men's Freestyle 57kg
1532945,Men's Freestyle 65kg
1532951,Women's 20km Race Walk
1532951,Marathon Race Walk Relay Mixed
1533112,Men -60 kg
1533136,Women's 100m
1533136,Women's 200m
1533176,Men's 100m
1533188,Women's Individual
1533189,Women's Individual
1533190,Men's Individual
1533208,Men's 100m
1533209,Women's 50m Freestyle
1533230,Team
1533230,Duet
1533231,Team
1533231,Duet
1533232,Team
1533234,Team
1533235,Team
1533237,Team
1533239,Team
1533240,Team
1533243,Team
1533245,Men -81 kg
1533359,Men's +102kg
1533364,Men's 5000m
1533371,Men's Marathon
1533372,Men's 5000m
1533374,Women's 5000m
1533378,Men's 50m Freestyle
1535180,Men's Kayak Single
1535180,Men's Kayak Cross
1535186,Men's 63.5kg
1535187,Men's 71kg
1535191,Women's 20km Race Walk
1535191,Marathon Race Walk Relay Mixed
1535195,Men's 800m
1535199,Men's High Jump
1535201,Men's Shot Put
1535202,Men's Hammer Throw
1535203,Men's 20km Race Walk
1535212,Women's 400m
1535214,Women's 5000m
1535216,Women's 5000m
1535217,Women's Marathon
1535222,Marathon Race Walk Relay Mixed
1535225,Women's Dinghy
1535226,Women's Windsurfing
1535252,Women's Single Sculls
1535260,Lightweight Men's Double Sculls
1535267,Lightweight Men's Double Sculls
1535310,Women
1535310,Women's All-Around
1535310,Women's Balance Beam
1535310,Women's Floor Exercise
1535310,Women's Uneven Bars
1535310,Women's Vault
1535343,Men's 10m Platform
1535343,Men's Synchronised 10m Platform
1535345,Men's 10m Platform
1535345,Men's Synchronised 10m Platform
1535346,Women's 10m Platform
1535346,Women's Synchronised 10m Platform
1535348,Women's 10m Platform
1535348,Women's Synchronised 10m Platform
1535349,Men's 3m Springboard
1535349,Men's Synchronised 3m Springboard
1535350,Jumping Individual
1535350,Jumping Team
1535351,Jumping Team
1535354,Men's 100m Breaststroke
1535354,Men's 200m Breaststroke
1535356,Women
1535356,Women's All-Around
1535356,Women's Balance Beam
1535356,Women's Floor Exercise
1535356,Women's Uneven Bars
1535356,Women's Vault
1535357,Women
1535357,Women's All-Around
1535357,Women's Balance Beam
1535357,Women's Floor Exercise
1535357,Women's Uneven Bars
1535357,Women's Vault
1535358,Group All-Around
1535359,Group All-Around
1535360,Group All-Around
1535361,Group All-Around
1535362,Group All-Around
1535363,Men's Individual
1535364,Men's Individual
1535365,Women's Individual
1535366,Men +80kg
1535367,Women -49kg
1535368,Men
1535373,Men -90 kg
1535374,Men -100 kg
1535375,Men +100 kg
1535376,Men -81 kg
1535383,Women -52 kg
1535385,Men -73 kg
1535395,Women's Road Race
1535420,Women's Individual
1535420,Women's Team
1535420,Mixed Team
1535429,Women's Individual
1535429,Women's Team
1535430,Men's Individual
1535430,Men's Team
1535430,Mixed Team
1535433,Women's Road Race
1535438,10m Air Rifle Men
1535438,10m Air Rifle Mixed Team
1535439,Skeet Women
1535440,10m Air Pistol Women
1535440,25m Pistol Women
1535441,10m Air Rifle Men
