code,name,gold,silver,bronze
CHN,,0,1,5
FRA,,4,0,1
USA,,3,2,0
AUS,,3,1,1
USA,,2,3,0
AUS,,2,1,2
CAN,,3,1,0
USA,,3,1,0
JPN,,3,0,1
AUS,,2,2,0
USA,,2,2,0
USA,,2,1,1
BRA,,1,2,1
CHN,,0,1,3
KOR,,3,0,0
CHN,,2,1,0
USA,,2,1,0
AUS,,1,2,0
CHN,,1,2,0
USA,,1,2,0
AUS,,1,1,1
USA,,1,1,1
USA,,1,0,2
AUS,,0,2,1
CHN,,0,2,1
AUS,,2,0,0
BEL,,2,0,0
CHN,,2,0,0
FRA,,2,0,0
GER,,2,0,0
KOR,,2,0,0
PHI,,2,0,0
SWE,,2,0,0
USA,,2,0,0
CHN,,1,1,0
FRA,,1,1,0
GBR,,1,1,0
GER,,1,1,0
HUN,,1,1,0
ITA,,1,1,0
JPN,,1,1,0
KOR,,1,1,0
ROU,,1,1,0
RSA,,1,1,0
USA,,1,1,0
BRA,,1,0,1
FRA,,1,0,1
GBR,,1,0,1
IRL,,1,0,1
ITA,,1,0,1
KOR,,1,0,1
ROU,,1,0,1
UKR,,1,0,1
USA,,1,0,1
FRA,,0,2,0
ITA,,0,2,0
JPN,,0,2,0
USA,,0,2,0
AUS,,0,1,1
BRA,,0,1,1
CHN,,0,1,1
ITA,,0,1,1
JPN,,0,1,1
KOR,,0,1,1
USA,,0,1,1
BRA,,0,0,2
CAN,,0,0,2
CHN,,0,0,2
FRA,,0,0,2
GBR,,0,0,2
HKG,,0,0,2
IND,,0,0,2
KOR,,0,0,2
USA,,0,0,2
AIN,,1,0,0
ALG,,1,0,0
ARG,,1,0,0
AUS,,1,0,0
AZE,,1,0,0
CAN,,1,0,0
CHI,,1,0,0
CHN,,1,0,0
CRO,,1,0,0
CZE,,1,0,0
DEN,,1,0,0
DMA,,1,0,0
ECU,,1,0,0
ESP,,1,0,0
FRA,,1,0,0
GBR,,1,0,0
GEO,,1,0,0
GER,,1,0,0
GUA,,1,0,0
HKG,,1,0,0
HUN,,1,0,0
IRL,,1,0,0
ISR,,1,0,0
ITA,,1,0,0
JPN,,1,0,0
KAZ,,1,0,0
KEN,,1,0,0
KOR,,1,0,0
LCA,,1,0,0
NED,,1,0,0
NOR,,1,0,0
NZL,,1,0,0
ROU,,1,0,0
SLO,,1,0,0
SRB,,1,0,0
SUI,,1,0,0
SWE,,1,0,0
TPE,,1,0,0
UGA,,1,0,0
UKR,,1,0,0
USA,,1,0,0
UZB,,1,0,0
AIN,,0,1,0
ARM,,0,1,0
AUS,,0,1,0
BRA,,0,1,0
CAN,,0,1,0
CHN,,0,1,0
COL,,0,1,0
CRO,,0,1,0
DEN,,0,1,0
ESP,,0,1,0
ETH,,0,1,0
FIJ,,0,1,0
FRA,,0,1,0
GBR,,0,1,0
GEO,,0,1,0
GER,,0,1,0
GRE,,0,1,0
HUN,,0,1,0
ISR,,0,1,0
ITA,,0,1,0
JAM,,0,1,0
JPN,,0,1,0
KAZ,,0,1,0
KEN,,0,1,0
KOR,,0,1,0
KOS,,0,1,0
MEX,,0,1,0
MGL,,0,1,0
NED,,0,1,0
NZL,,0,1,0
POL,,0,1,0
PRK,,0,1,0
ROU,,0,1,0
SUI,,0,1,0
SWE,,0,1,0
THA,,0,1,0
TUN,,0,1,0
TUR,,0,1,0
UKR,,0,1,0
USA,,0,1,0
AUS,,0,0,1
AUT,,0,0,1
BEL,,0,0,1
BRA,,0,0,1
CAN,,0,0,1
CHN,,0,0,1
CPV,,0,0,1
CRO,,0,0,1
CUB,,0,0,1
CZE,,0,0,1
DOM,,0,0,1
EGY,,0,0,1
ESP,,0,0,1
FRA,,0,0,1
GBR,,0,0,1
GEO,,0,0,1
GER,,0,0,1
GRE,,0,0,1
GRN,,0,0,1
GUA,,0,0,1
HUN,,0,0,1
INA,,0,0,1
IND,,0,0,1
IRL,,0,0,1
ISR,,0,0,1
ITA,,0,0,1
JAM,,0,0,1
JPN,,0,0,1
KAZ,,0,0,1
KEN,,0,0,1
KOR,,0,0,1
KOS,,0,0,1
LTU,,0,0,1
MAS,,0,0,1
MDA,,0,0,1
MEX,,0,0,1
NED,,0,0,1
NZL,,0,0,1
POL,,0,0,1
POR,,0,0,1
PRK,,0,0,1
RSA,,0,0,1
SUI,,0,0,1
SVK,,0,0,1
SWE,,0,0,1
TJK,,0,0,1
TPE,,0,0,1
TUR,,0,0,1
UKR,,0,0,1
USA,,0,0,1
UZB,,0,0,1
