Country,Series,Year,NY.GDP.PCAP.PP.KD
Africa Eastern and Southern,"GDP per capita, PPP (constant 2021 international $)",2021,3994.17165362078
Africa Western and Central,"GDP per capita, PPP (constant 2021 international $)",2021,4756.30841947667
Arab World,"GDP per capita, PPP (constant 2021 international $)",2021,15776.9848521443
Caribbean small states,"GDP per capita, PPP (constant 2021 international $)",2021,19757.122425393
Central Europe and the Baltics,"GDP per capita, PPP (constant 2021 international $)",2021,39902.2158317656
Early-demographic dividend,"GDP per capita, PPP (constant 2021 international $)",2021,10777.7245203475
East Asia & Pacific,"GDP per capita, PPP (constant 2021 international $)",2021,21207.8616674989
East Asia & Pacific (excluding high income),"GDP per capita, PPP (constant 2021 international $)",2021,17704.2856043395
East Asia & Pacific (IDA & IBRD countries),"GDP per capita, PPP (constant 2021 international $)",2021,17900.9397648165
Euro area,"GDP per capita, PPP (constant 2021 international $)",2021,54208.1300845637
Europe & Central Asia,"GDP per capita, PPP (constant 2021 international $)",2021,42412.4038603586
Europe & Central Asia (excluding high income),"GDP per capita, PPP (constant 2021 international $)",2021,21984.6196863381
Europe & Central Asia (IDA & IBRD countries),"GDP per capita, PPP (constant 2021 international $)",2021,29894.9875991804
European Union,"GDP per capita, PPP (constant 2021 international $)",2021,51916.8314504537
Fragile and conflict affected situations,"GDP per capita, PPP (constant 2021 international $)",2021,5330.545838104
Heavily indebted poor countries (HIPC),"GDP per capita, PPP (constant 2021 international $)",2021,2993.85520001473
High income,"GDP per capita, PPP (constant 2021 international $)",2021,55103.0624486674
IBRD only,"GDP per capita, PPP (constant 2021 international $)",2021,16355.9828762206
IDA & IBRD total,"GDP per capita, PPP (constant 2021 international $)",2021,13168.8845659698
IDA blend,"GDP per capita, PPP (constant 2021 international $)",2021,5632.05995762171
IDA only,"GDP per capita, PPP (constant 2021 international $)",2021,3993.25493131998
IDA total,"GDP per capita, PPP (constant 2021 international $)",2021,4520.66470515812
Late-demographic dividend,"GDP per capita, PPP (constant 2021 international $)",2021,21905.7213396337
Latin America & Caribbean,"GDP per capita, PPP (constant 2021 international $)",2021,18561.5332194452
Latin America & Caribbean (excluding high income),"GDP per capita, PPP (constant 2021 international $)",2021,17792.0281662666
Latin America & the Caribbean (IDA & IBRD countries),"GDP per capita, PPP (constant 2021 international $)",2021,18476.4321866365
Least developed countries: UN classification,"GDP per capita, PPP (constant 2021 international $)",2021,3674.06477865999
Low & middle income,"GDP per capita, PPP (constant 2021 international $)",2021,12133.5621230001
Low income,"GDP per capita, PPP (constant 2021 international $)",2021,2277.38301594287
Lower middle income,"GDP per capita, PPP (constant 2021 international $)",2021,7684.54349046364
Middle East & North Africa,"GDP per capita, PPP (constant 2021 international $)",2021,18042.3122731787
Middle East & North Africa (excluding high income),"GDP per capita, PPP (constant 2021 international $)",2021,12490.4747839076
Middle East & North Africa (IDA & IBRD countries),"GDP per capita, PPP (constant 2021 international $)",2021,12573.375923687
Middle income,"GDP per capita, PPP (constant 2021 international $)",2021,13311.3313617535
North America,"GDP per capita, PPP (constant 2021 international $)",2021,69482.651697582
Not classified,"GDP per capita, PPP (constant 2021 international $)",2021,
OECD members,"GDP per capita, PPP (constant 2021 international $)",2021,50844.7564355333
Other small states,"GDP per capita, PPP (constant 2021 international $)",2021,26843.7342314024
Pacific island small states,"GDP per capita, PPP (constant 2021 international $)",2021,6267.26384153871
Post-demographic dividend,"GDP per capita, PPP (constant 2021 international $)",2021,56189.7862985183
Pre-demographic dividend,"GDP per capita, PPP (constant 2021 international $)",2021,4046.19311110885
Small states,"GDP per capita, PPP (constant 2021 international $)",2021,22995.3808887822
South Asia,"GDP per capita, PPP (constant 2021 international $)",2021,7610.50189556722
South Asia (IDA & IBRD),"GDP per capita, PPP (constant 2021 international $)",2021,7610.50189556722
Sub-Saharan Africa,"GDP per capita, PPP (constant 2021 international $)",2021,4301.58897817593
Sub-Saharan Africa (excluding high income),"GDP per capita, PPP (constant 2021 international $)",2021,4299.43718598037
Sub-Saharan Africa (IDA & IBRD countries),"GDP per capita, PPP (constant 2021 international $)",2021,4301.58897817593
Upper middle income,"GDP per capita, PPP (constant 2021 international $)",2021,19290.9471358409
World,"GDP per capita, PPP (constant 2021 international $)",2021,19724.1292071438
Afghanistan,"GDP per capita, PPP (constant 2021 international $)",2021,2138.87024713086
Albania,"GDP per capita, PPP (constant 2021 international $)",2021,16261.804554188
Algeria,"GDP per capita, PPP (constant 2021 international $)",2021,14690.9162300571
American Samoa,"GDP per capita, PPP (constant 2021 international $)",2021,
Andorra,"GDP per capita, PPP (constant 2021 international $)",2021,58829.8500720505
Angola,"GDP per capita, PPP (constant 2021 international $)",2021,7414.27895783202
Antigua and Barbuda,"GDP per capita, PPP (constant 2021 international $)",2021,25493.1295548691
Argentina,"GDP per capita, PPP (constant 2021 international $)",2021,26086.8023552274
Armenia,"GDP per capita, PPP (constant 2021 international $)",2021,16899.0709181676
Aruba,"GDP per capita, PPP (constant 2021 international $)",2021,38226.146156979
Australia,"GDP per capita, PPP (constant 2021 international $)",2021,57406.1787604549
Austria,"GDP per capita, PPP (constant 2021 international $)",2021,63421.2035870778
Azerbaijan,"GDP per capita, PPP (constant 2021 international $)",2021,20111.3756952109
"Bahamas, The","GDP per capita, PPP (constant 2021 international $)",2021,28510.9094889073
Bahrain,"GDP per capita, PPP (constant 2021 international $)",2021,54351.8360757233
Bangladesh,"GDP per capita, PPP (constant 2021 international $)",2021,7366.48997079065
Barbados,"GDP per capita, PPP (constant 2021 international $)",2021,14752.3736972313
Belarus,"GDP per capita, PPP (constant 2021 international $)",2021,27611.1801135156
Belgium,"GDP per capita, PPP (constant 2021 international $)",2021,62123.1613172906
Belize,"GDP per capita, PPP (constant 2021 international $)",2021,11559.8905984688
Benin,"GDP per capita, PPP (constant 2021 international $)",2021,3575.31148668734
Bermuda,"GDP per capita, PPP (constant 2021 international $)",2021,93555.5174506069
Bhutan,"GDP per capita, PPP (constant 2021 international $)",2021,13423.4288725475
Bolivia,"GDP per capita, PPP (constant 2021 international $)",2021,9342.97184427306
Bosnia and Herzegovina,"GDP per capita, PPP (constant 2021 international $)",2021,18396.4690929752
Botswana,"GDP per capita, PPP (constant 2021 international $)",2021,16663.8685441919
Brazil,"GDP per capita, PPP (constant 2021 international $)",2021,17672.9168034655
British Virgin Islands,"GDP per capita, PPP (constant 2021 international $)",2021,
Brunei Darussalam,"GDP per capita, PPP (constant 2021 international $)",2021,79364.0945618203
Bulgaria,"GDP per capita, PPP (constant 2021 international $)",2021,29404.9605099327
Burkina Faso,"GDP per capita, PPP (constant 2021 international $)",2021,2467.74060013055
Burundi,"GDP per capita, PPP (constant 2021 international $)",2021,864.280732749477
Cabo Verde,"GDP per capita, PPP (constant 2021 international $)",2021,6753.69162981873
Cambodia,"GDP per capita, PPP (constant 2021 international $)",2021,4668.23777959985
Cameroon,"GDP per capita, PPP (constant 2021 international $)",2021,4741.76177028658
Canada,"GDP per capita, PPP (constant 2021 international $)",2021,55781.6990272912
Cayman Islands,"GDP per capita, PPP (constant 2021 international $)",2021,76296.9406818273
Central African Republic,"GDP per capita, PPP (constant 2021 international $)",2021,1057.19439503026
Chad,"GDP per capita, PPP (constant 2021 international $)",2021,1764.34807562549
Channel Islands,"GDP per capita, PPP (constant 2021 international $)",2021,
Chile,"GDP per capita, PPP (constant 2021 international $)",2021,29050.0807938778
China,"GDP per capita, PPP (constant 2021 international $)",2021,20406.7296584605
Colombia,"GDP per capita, PPP (constant 2021 international $)",2021,17587.2317932888
