,country,gdp_capita,gdp_capita_quantile
49,Afghanistan,2138.87024713086,0
50,Albania,16261.804554188,3
51,Algeria,14690.9162300571,2
52,American Samoa,,-1
53,Andorra,58829.8500720505,5
54,Angola,7414.27895783202,1
55,Antigua and Barbuda,25493.1295548691,3
56,Argentina,26086.8023552274,3
57,Armenia,16899.0709181676,3
58,Aruba,38226.146156979,4
59,Australia,57406.1787604549,5
60,Austria,63421.2035870778,5
61,Azerbaijan,20111.3756952109,3
62,"Bahamas, The",28510.9094889073,3
63,Bahrain,54351.8360757233,5
64,Bangladesh,7366.48997079065,1
65,Barbados,14752.3736972313,2
66,Belarus,27611.1801135156,3
67,Belgium,62123.1613172906,5
68,Belize,11559.8905984688,2
69,Benin,3575.31148668734,0
70,Bermuda,93555.5174506069,5
71,Bhutan,13423.4288725475,2
72,Bolivia,9342.97184427306,2
73,Bosnia and Herzegovina,18396.4690929752,3
74,Botswana,16663.8685441919,3
75,Brazil,17672.9168034655,3
76,British Virgin Islands,,-1
77,Brunei Darussalam,79364.0945618203,5
78,Bulgaria,29404.9605099327,4
79,Burkina Faso,2467.74060013055,0
80,Burundi,864.280732749477,0
81,Cabo Verde,6753.69162981873,1
82,Cambodia,4668.23777959985,1
83,Cameroon,4741.76177028658,1
84,Canada,55781.6990272912,5
85,Cayman Islands,76296.9406818273,5
86,Central African Republic,1057.19439503026,0
87,Chad,1764.34807562549,0
88,Channel Islands,,-1
89,Chile,29050.0807938778,4
90,China,20406.7296584605,3
91,Colombia,17587.2317932888,3
92,Comoros,3426.75773437156,0
93,"Congo, Dem. Rep.",1358.2047169909,0
94,"Congo, Rep.",6323.71757921482,1
95,Costa Rica,23700.2961313917,3
96,Cote d'Ivoire,6520.73116025072,1
97,Croatia,37232.5957719881,4
98,Cuba,,-1
99,Curacao,25163.9934463262,3
100,Cyprus,48466.84375,4
101,Czechia,48418.1157871868,4
102,Denmark,69878.9348117258,5
103,Djibouti,6032.27795593735,1
104,Dominica,14472.2858615339,2
105,Dominican Republic,21923.3019358073,3
106,Ecuador,13452.0087723253,2
107,"Egypt, Arab Rep.",15820.6713809388,2
108,El Salvador,10709.7595787161,2
109,Equatorial Guinea,18100.9139254871,3
110,Eritrea,,-1
111,Estonia,44651.9992190266,4
112,Eswatini,10202.5096087228,2
