Country,Series,Year,NY.GDP.PCAP.PP.KD
Africa Eastern and Southern,"GDP per capita, PPP (constant 2021 international $)",2023,4047.00703115979
Africa Western and Central,"GDP per capita, PPP (constant 2021 international $)",2023,4857.98753349736
Arab World,"GDP per capita, PPP (constant 2021 international $)",2023,16286.1078753781
Caribbean small states,"GDP per capita, PPP (constant 2021 international $)",2023,28099.0871710785
Central Europe and the Baltics,"GDP per capita, PPP (constant 2021 international $)",2023,42391.250131523
Early-demographic dividend,"GDP per capita, PPP (constant 2021 international $)",2023,11669.2059365482
East Asia & Pacific,"GDP per capita, PPP (constant 2021 international $)",2023,22714.4480063925
East Asia & Pacific (excluding high income),"GDP per capita, PPP (constant 2021 international $)",2023,19172.7645976035
East Asia & Pacific (IDA & IBRD countries),"GDP per capita, PPP (constant 2021 international $)",2023,19386.3209883871
Euro area,"GDP per capita, PPP (constant 2021 international $)",2023,55834.6777863181
Europe & Central Asia,"GDP per capita, PPP (constant 2021 international $)",2023,44035.5908845403
Europe & Central Asia (excluding high income),"GDP per capita, PPP (constant 2021 international $)",2023,23270.0780601102
Europe & Central Asia (IDA & IBRD countries),"GDP per capita, PPP (constant 2021 international $)",2023,31343.3012809815
European Union,"GDP per capita, PPP (constant 2021 international $)",2023,53789.1010609578
Fragile and conflict affected situations,"GDP per capita, PPP (constant 2021 international $)",2023,5126.35780124551
Heavily indebted poor countries (HIPC),"GDP per capita, PPP (constant 2021 international $)",2023,3089.58908860428
High income,"GDP per capita, PPP (constant 2021 international $)",2023,57034.4407398974
IBRD only,"GDP per capita, PPP (constant 2021 international $)",2023,17559.2811275435
IDA & IBRD total,"GDP per capita, PPP (constant 2021 international $)",2023,13997.4325769783
IDA blend,"GDP per capita, PPP (constant 2021 international $)",2023,5756.89284355135
IDA only,"GDP per capita, PPP (constant 2021 international $)",2023,4154.25248010965
IDA total,"GDP per capita, PPP (constant 2021 international $)",2023,4666.77382337969
Late-demographic dividend,"GDP per capita, PPP (constant 2021 international $)",2023,23430.2939608006
Latin America & Caribbean,"GDP per capita, PPP (constant 2021 international $)",2023,19458.8582636163
Latin America & Caribbean (excluding high income),"GDP per capita, PPP (constant 2021 international $)",2023,18631.2474539672
Latin America & the Caribbean (IDA & IBRD countries),"GDP per capita, PPP (constant 2021 international $)",2023,19361.9056292392
Least developed countries: UN classification,"GDP per capita, PPP (constant 2021 international $)",2023,3828.49665079209
Low & middle income,"GDP per capita, PPP (constant 2021 international $)",2023,12952.6630495353
Low income,"GDP per capita, PPP (constant 2021 international $)",2023,2313.9072136986
Lower middle income,"GDP per capita, PPP (constant 2021 international $)",2023,8388.85427274146
Middle East & North Africa,"GDP per capita, PPP (constant 2021 international $)",2023,18884.3807744401
Middle East & North Africa (excluding high income),"GDP per capita, PPP (constant 2021 international $)",2023,13079.9722559571
Middle East & North Africa (IDA & IBRD countries),"GDP per capita, PPP (constant 2021 international $)",2023,13176.1315206888
Middle income,"GDP per capita, PPP (constant 2021 international $)",2023,14272.4382833377
North America,"GDP per capita, PPP (constant 2021 international $)",2023,71737.1799202482
Not classified,"GDP per capita, PPP (constant 2021 international $)",2023,
OECD members,"GDP per capita, PPP (constant 2021 international $)",2023,52706.8549837778
Other small states,"GDP per capita, PPP (constant 2021 international $)",2023,27942.7788967759
Pacific island small states,"GDP per capita, PPP (constant 2021 international $)",2023,7269.31162523573
Post-demographic dividend,"GDP per capita, PPP (constant 2021 international $)",2023,58198.762347554
Pre-demographic dividend,"GDP per capita, PPP (constant 2021 international $)",2023,4089.11109431783
Small states,"GDP per capita, PPP (constant 2021 international $)",2023,25229.2843896257
South Asia,"GDP per capita, PPP (constant 2021 international $)",2023,8461.89804183142
South Asia (IDA & IBRD),"GDP per capita, PPP (constant 2021 international $)",2023,8461.89804183142
Sub-Saharan Africa,"GDP per capita, PPP (constant 2021 international $)",2023,4374.32076904532
Sub-Saharan Africa (excluding high income),"GDP per capita, PPP (constant 2021 international $)",2023,4371.90440715163
Sub-Saharan Africa (IDA & IBRD countries),"GDP per capita, PPP (constant 2021 international $)",2023,4374.32076904532
Upper middle income,"GDP per capita, PPP (constant 2021 international $)",2023,20657.9891828256
World,"GDP per capita, PPP (constant 2021 international $)",2023,20660.9278405441
Afghanistan,"GDP per capita, PPP (constant 2021 international $)",2023,
Albania,"GDP per capita, PPP (constant 2021 international $)",2023,18059.9379072012
Algeria,"GDP per capita, PPP (constant 2021 international $)",2023,15347.532423437
American Samoa,"GDP per capita, PPP (constant 2021 international $)",2023,
Andorra,"GDP per capita, PPP (constant 2021 international $)",2023,64526.5560970389
Angola,"GDP per capita, PPP (constant 2021 international $)",2023,7247.47644174941
Antigua and Barbuda,"GDP per capita, PPP (constant 2021 international $)",2023,28665.5966277555
Argentina,"GDP per capita, PPP (constant 2021 international $)",2023,26466.5465596961
Armenia,"GDP per capita, PPP (constant 2021 international $)",2023,20780.6440042171
Aruba,"GDP per capita, PPP (constant 2021 international $)",2023,
Australia,"GDP per capita, PPP (constant 2021 international $)",2023,59456.3884188866
Austria,"GDP per capita, PPP (constant 2021 international $)",2023,64643.9721835092
Azerbaijan,"GDP per capita, PPP (constant 2021 international $)",2023,21349.3504704388
"Bahamas, The","GDP per capita, PPP (constant 2021 international $)",2023,32047.9042744282
Bahrain,"GDP per capita, PPP (constant 2021 international $)",2023,57550.2932135972
Bangladesh,"GDP per capita, PPP (constant 2021 international $)",2023,8171.51709110154
Barbados,"GDP per capita, PPP (constant 2021 international $)",2023,17447.9035851883
Belarus,"GDP per capita, PPP (constant 2021 international $)",2023,27718.367024278
Belgium,"GDP per capita, PPP (constant 2021 international $)",2023,63572.4919333446
Belize,"GDP per capita, PPP (constant 2021 international $)",2023,12795.1797987738
Benin,"GDP per capita, PPP (constant 2021 international $)",2023,3829.28494585008
Bermuda,"GDP per capita, PPP (constant 2021 international $)",2023,
Bhutan,"GDP per capita, PPP (constant 2021 international $)",2023,
Bolivia,"GDP per capita, PPP (constant 2021 international $)",2023,9668.95710190816
Bosnia and Herzegovina,"GDP per capita, PPP (constant 2021 international $)",2023,19860.3408046966
Botswana,"GDP per capita, PPP (constant 2021 international $)",2023,17471.3419555019
Brazil,"GDP per capita, PPP (constant 2021 international $)",2023,18554.1053421197
British Virgin Islands,"GDP per capita, PPP (constant 2021 international $)",2023,
Brunei Darussalam,"GDP per capita, PPP (constant 2021 international $)",2023,77919.2203014129
Bulgaria,"GDP per capita, PPP (constant 2021 international $)",2023,33289.1140849609
Burkina Faso,"GDP per capita, PPP (constant 2021 international $)",2023,2457.97437726277
Burundi,"GDP per capita, PPP (constant 2021 international $)",2023,857.091185959625
Cabo Verde,"GDP per capita, PPP (constant 2021 international $)",2023,8190.0262962089
Cambodia,"GDP per capita, PPP (constant 2021 international $)",2023,5069.40900667111
Cameroon,"GDP per capita, PPP (constant 2021 international $)",2023,4849.49485319657
Canada,"GDP per capita, PPP (constant 2021 international $)",2023,55817.8974279144
Cayman Islands,"GDP per capita, PPP (constant 2021 international $)",2023,
Central African Republic,"GDP per capita, PPP (constant 2021 international $)",2023,1018.52649855231
Chad,"GDP per capita, PPP (constant 2021 international $)",2023,1775.063825011
Channel Islands,"GDP per capita, PPP (constant 2021 international $)",2023,
Chile,"GDP per capita, PPP (constant 2021 international $)",2023,29506.5351824219
China,"GDP per capita, PPP (constant 2021 international $)",2023,22135.432455881
Colombia,"GDP per capita, PPP (constant 2021 international $)",2023,18777.4054002163
Comoros,"GDP per capita, PPP (constant 2021 international $)",2023,3474.57737842442
"Congo, Dem. Rep.","GDP per capita, PPP (constant 2021 international $)",2023,1506.04566749651
"Congo, Rep.","GDP per capita, PPP (constant 2021 international $)",2023,6249.11807461705
Costa Rica,"GDP per capita, PPP (constant 2021 international $)",2023,25754.7863607816
Cote d'Ivoire,"GDP per capita, PPP (constant 2021 international $)",2023,7022.41597630824
Croatia,"GDP per capita, PPP (constant 2021 international $)",2023,41343.5242562373
Cuba,"GDP per capita, PPP (constant 2021 international $)",2023,
Curacao,"GDP per capita, PPP (constant 2021 international $)",2023,
Cyprus,"GDP per capita, PPP (constant 2021 international $)",2023,50578.35546875
Czechia,"GDP per capita, PPP (constant 2021 international $)",2023,47730.5242542234
Denmark,"GDP per capita, PPP (constant 2021 international $)",2023,72034.3137948085
