,country,gdp_capita,gdp_capita_quantile
0,Africa Eastern and Southern,4047.00703115979,0
1,Africa Western and Central,4857.98753349736,1
2,Arab World,16286.1078753781,2
3,Caribbean small states,28099.0871710785,4
4,Central Europe and the Baltics,42391.250131523,4
5,Early-demographic dividend,11669.2059365482,2
6,East Asia & Pacific,22714.4480063925,3
7,East Asia & Pacific (excluding high income),19172.7645976035,3
8,East Asia & Pacific (IDA & IBRD countries),19386.3209883871,3
9,Euro area,55834.6777863181,5
10,Europe & Central Asia,44035.5908845403,4
11,Europe & Central Asia (excluding high income),23270.0780601102,3
12,Europe & Central Asia (IDA & IBRD countries),31343.3012809815,4
13,European Union,53789.1010609578,5
14,Fragile and conflict affected situations,5126.35780124551,1
15,Heavily indebted poor countries (HIPC),3089.58908860428,0
16,High income,57034.4407398974,5
17,IBRD only,17559.2811275435,3
18,IDA & IBRD total,13997.4325769783,2
19,IDA blend,5756.89284355135,1
20,IDA only,4154.25248010965,0
21,IDA total,4666.77382337969,1
22,Late-demographic dividend,23430.2939608006,3
23,Latin America & Caribbean,19458.8582636163,3
24,Latin America & Caribbean (excluding high income),18631.2474539672,3
25,Latin America & the Caribbean (IDA & IBRD countries),19361.9056292392,3
26,Least developed countries: UN classification,3828.49665079209,0
27,Low & middle income,12952.6630495353,2
28,Low income,2313.9072136986,0
29,Lower middle income,8388.85427274146,1
30,Middle East & North Africa,18884.3807744401,3
31,Middle East & North Africa (excluding high income),13079.9722559571,2
32,Middle East & North Africa (IDA & IBRD countries),13176.1315206888,2
33,Middle income,14272.4382833377,2
34,North America,71737.1799202482,5
36,OECD members,52706.8549837778,5
37,Other small states,27942.7788967759,4
38,Pacific island small states,7269.31162523573,1
39,Post-demographic dividend,58198.762347554,5
40,Pre-demographic dividend,4089.11109431783,0
41,Small states,25229.2843896257,3
42,South Asia,8461.89804183142,1
43,South Asia (IDA & IBRD),8461.89804183142,1
44,Sub-Saharan Africa,4374.32076904532,1
45,Sub-Saharan Africa (excluding high income),4371.90440715163,1
46,Sub-Saharan Africa (IDA & IBRD countries),4374.32076904532,1
47,Upper middle income,20657.9891828256,3
48,World,20660.9278405441,3
50,Albania,18059.9379072012,3
51,Algeria,15347.532423437,2
53,Andorra,64526.5560970389,5
54,Angola,7247.47644174941,1
55,Antigua and Barbuda,28665.5966277555,4
56,Argentina,26466.5465596961,4
57,Armenia,20780.6440042171,3
59,Australia,59456.3884188866,5
60,Austria,64643.9721835092,5
61,Azerbaijan,21349.3504704388,3
62,"Bahamas, The",32047.9042744282,4
63,Bahrain,57550.2932135972,5
64,Bangladesh,8171.51709110154,1
65,Barbados,17447.9035851883,3
66,Belarus,27718.367024278,4
67,Belgium,63572.4919333446,5
68,Belize,12795.1797987738,2
69,Benin,3829.28494585008,0
72,Bolivia,9668.95710190816,2
73,Bosnia and Herzegovina,19860.3408046966,3
74,Botswana,17471.3419555019,3
75,Brazil,18554.1053421197,3
77,Brunei Darussalam,77919.2203014129,5
78,Bulgaria,33289.1140849609,4
79,Burkina Faso,2457.97437726277,0
80,Burundi,857.091185959625,0
81,Cabo Verde,8190.0262962089,1
82,Cambodia,5069.40900667111,1
83,Cameroon,4849.49485319657,1
84,Canada,55817.8974279144,5
86,Central African Republic,1018.52649855231,0
87,Chad,1775.063825011,0
89,Chile,29506.5351824219,4
90,China,22135.432455881,3
91,Colombia,18777.4054002163,3
92,Comoros,3474.57737842442,0
93,"Congo, Dem. Rep.",1506.04566749651,0
94,"Congo, Rep.",6249.11807461705,1
95,Costa Rica,25754.7863607816,3
96,Cote d'Ivoire,7022.41597630824,1
97,Croatia,41343.5242562373,4
100,Cyprus,50578.35546875,5
101,Czechia,47730.5242542234,4
102,Denmark,72034.3137948085,5
103,Djibouti,6493.48774356271,1
104,Dominica,15862.8273613264,2
105,Dominican Republic,23084.4568014642,3
106,Ecuador,14304.9218464541,2
107,"Egypt, Arab Rep.",16960.5673160065,3
108,El Salvador,11305.2168633852,2
109,Equatorial Guinea,16876.8677696304,3
111,Estonia,41997.7743676807,4
112,Eswatini,10582.7772792386,2
113,Ethiopia,2802.59760946858,0
115,Fiji,13562.3807639268,2
116,Finland,57505.5087011509,5
117,France,55213.7155963526,5
119,Gabon,19782.2817802776,3
120,"Gambia, The",2850.57760406569,0
121,Georgia,22246.851845613,3
122,Germany,61909.0273088018,5
123,Ghana,6729.93280285683,1
125,Greece,36267.6918550159,4
127,Grenada,15912.8118010249,2
129,Guatemala,12679.0821468473,2
130,Guinea,3992.46179590028,0
131,Guinea-Bissau,2370.85751496925,0
132,Guyana,49811.7872052476,5
133,Haiti,2934.4325817411,0
134,Honduras,6499.47357583055,1
135,"Hong Kong SAR, China",64431.0890878089,5
136,Hungary,40553.7767445832,4
137,Iceland,66451.3629509102,5
138,India,9172.09610837896,2
139,Indonesia,14072.8537097538,2
140,"Iran, Islamic Rep.",16153.9873464008,2
141,Iraq,12590.8044549037,2
142,Ireland,115624.999310255,5
144,Israel,48277.625088751,5
145,Italy,52699.9456619046,5
146,Jamaica,10343.1854693134,2
147,Japan,46268.4172324007,4
148,Jordan,9421.00360606782,2
149,Kazakhstan,35452.9698522831,4
150,Kenya,5699.82119079508,1
151,Kiribati,3174.38325509414,0
153,"Korea, Rep.",50572.2499861828,5
154,Kosovo,13546.9514168706,2
155,Kuwait,50824.7153499066,5
156,Kyrgyz Republic,6402.19625079454,1
157,Lao PDR,8406.38909144237,1
158,Latvia,37812.5770256549,4
159,Lebanon,12293.3298910844,2
160,Lesotho,2518.2938232857,0
161,Liberia,1639.62858585062,0
162,Libya,17703.8686817028,3
164,Lithuania,46210.4010717004,4
165,Luxembourg,132414.220235155,5
166,"Macao SAR, China",102019.508695035,5
167,Madagascar,1690.16460034212,0
168,Malawi,1683.45858882455,0
169,Malaysia,33573.8290400123,4
170,Maldives,22361.7374687627,3
171,Mali,2457.08522353105,0
172,Malta,57230.1461674042,5
173,Marshall Islands,6752.4843259094,1
174,Mauritania,6250.3256516632,1
175,Mauritius,26588.9323916997,4
176,Mexico,22366.6578892324,3
177,"Micronesia, Fed. Sts.",3800.61839351668,0
178,Moldova,15669.6945157173,2
180,Mongolia,16321.9473274406,2
181,Montenegro,27776.4010250084,4
182,Morocco,8782.2919921875,2
183,Mozambique,1493.66314394739,0
184,Myanmar,5322.78817435182,1
185,Namibia,11498.3189636003,2
186,Nauru,11420.8124583876,2
187,Nepal,4670.73836356531,1
188,Netherlands,69335.6086116879,5
190,New Zealand,48777.5906936909,5
191,Nicaragua,7250.35496838645,1
192,Niger,1638.08750440449,0
193,Nigeria,5694.97691566973,1
194,North Macedonia,23423.948904794,3
196,Norway,90500.8481506133,5
197,Oman,40039.7786170522,4
198,Pakistan,5599.32242885939,1
199,Palau,15765.577781913,2
200,Panama,35779.8160966517,4
201,Papua New Guinea,4152.93921863155,0
202,Paraguay,15743.1415349462,2
203,Peru,15068.4886780998,2
204,Philippines,9694.64608584183,2
205,Poland,44050.9498706981,4
206,Portugal,41709.5820951051,4
207,Puerto Rico,42994.7856404917,4
209,Romania,40517.5453176909,4
210,Russian Federation,39753.45703125,4
211,Rwanda,3029.58809188403,0
212,Samoa,6021.67913495697,1
214,Sao Tome and Principe,5465.56640625006,1
215,Saudi Arabia,49567.6956726728,5
216,Senegal,4356.33350629661,1
217,Serbia,24510.7874265426,3
218,Seychelles,29468.9512755913,4
219,Sierra Leone,1664.53891880765,0
220,Singapore,127543.55475211,5
221,Sint Maarten (Dutch part),46444.8042489215,4
222,Slovak Republic,39259.8837932506,4
223,Slovenia,48109.0782823381,4
224,Solomon Islands,2735.51632934578,0
225,Somalia,1452.35753152516,0
226,South Africa,14284.3399167492,2
228,Spain,46356.6080807018,4
229,Sri Lanka,13029.5242622749,2
230,St. Kitts and Nevis,30108.188136163,4
231,St. Lucia,22650.1674485973,3
233,St. Vincent and the Grenadines,17915.2798874103,3
234,Sudan,2827.73266601563,0
235,Suriname,18971.2247482981,3
236,Sweden,64190.6177777815,5
237,Switzerland,82914.2887321232,5
239,Tajikistan,4580.89928296234,1
240,Tanzania,3580.775390625,0
241,Thailand,21112.6386124449,3
242,Timor-Leste,4604.81545157049,1
243,Togo,2844.09966599825,0
245,Trinidad and Tobago,28458.0334039736,4
246,Tunisia,12332.1455589953,2
247,Turkiye,34414.2306458288,4
249,Turks and Caicos Islands,22371.5176662277,3
250,Tuvalu,5194.98503902064,1
251,Uganda,2792.53340571126,0
252,Ukraine,16231.34375,2
253,United Arab Emirates,75627.0549093525,5
254,United Kingdom,54126.1358941084,5
255,United States,73637.3027885905,5
256,Uruguay,30701.9058579634,4
257,Uzbekistan,8765.54921241886,1
258,Vanuatu,2988.09606713927,0
260,Viet Nam,13695.6711935082,2
262,West Bank and Gaza,5307.60122308795,1
264,Zambia,3718.70056385559,0
265,Zimbabwe,3515.23842464473,0
